Regional Economy,Statistic,Value,Footnote,Year,Unit of Measure,Sustainable Development Goal,ADB Country Code
Viet Nam,"9.a.1 – Total Official Flows for Infrastructure, Other Official Flows (OOF)",588.73333,,2021,"Disbursements, at constant 2020 prices, $ million",9.a.1,VIE
Afghanistan,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",90,,2021,%,9.c.1,AFG
Armenia,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",100,,2021,%,9.c.1,ARM
Azerbaijan,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",100,,2021,%,9.c.1,AZE
Bangladesh,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",99.63,,2021,%,9.c.1,BAN
Bhutan,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",98,,2021,%,9.c.1,BHU
Brunei Darussalam,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",99,,2021,%,9.c.1,BRU
Cambodia,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",99.6,,2021,%,9.c.1,CAM
"China, People's Republic of","9.c.1 – Proportion of Population Covered by Mobile Network, 2G",99.9,,2021,%,9.c.1,PRC
Cook Islands,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",100,,2021,%,9.c.1,COO
Fiji,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",98,,2021,%,9.c.1,FIJ
Georgia,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",99.98,,2021,%,9.c.1,GEO
"Hong Kong, China","9.c.1 – Proportion of Population Covered by Mobile Network, 2G",100,,2021,%,9.c.1,HKG
India,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",99.21,,2021,%,9.c.1,IND
Indonesia,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",97.8,,2021,%,9.c.1,INO
Kazakhstan,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",98.2,,2021,%,9.c.1,KAZ
Kiribati,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",75,,2021,%,9.c.1,KIR
"Korea, Republic of","9.c.1 – Proportion of Population Covered by Mobile Network, 2G",99.9,,2021,%,9.c.1,KOR
Kyrgyz Republic,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",99.3,,2021,%,9.c.1,KGZ
Lao People's Democratic Republic,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",95,,2021,%,9.c.1,LAO
Malaysia,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",98.5,,2021,%,9.c.1,MAL
Maldives,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",100,,2021,%,9.c.1,MLD
Marshall Islands,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",65,,2021,%,9.c.1,RMI
"Micronesia, Federated States of","9.c.1 – Proportion of Population Covered by Mobile Network, 2G",80,,2020,%,9.c.1,FSM
Mongolia,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",100,,2021,%,9.c.1,MON
Myanmar,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",96.34,,2021,%,9.c.1,MYA
Nauru,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",98,,2021,%,9.c.1,NAU
Nepal,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",93,,2021,%,9.c.1,NEP
Niue,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",,,,%,9.c.1,NIU
Pakistan,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",89.1,,2021,%,9.c.1,PAK
Palau,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",98,,2021,%,9.c.1,PLW
Papua New Guinea,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",89,,2021,%,9.c.1,PNG
Philippines,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",99,,2021,%,9.c.1,PHI
Samoa,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",97,,2021,%,9.c.1,SAM
Singapore,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",100,,2021,%,9.c.1,SIN
Solomon Islands,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",95,,2021,%,9.c.1,SOL
Sri Lanka,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",99,,2021,%,9.c.1,SRI
"Taipei,China","9.c.1 – Proportion of Population Covered by Mobile Network, 2G",,,,%,9.c.1,TAP
Tajikistan,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",90,,2021,%,9.c.1,TAJ
Thailand,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",98.8,,2021,%,9.c.1,THA
Timor-Leste,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",96.5,,2021,%,9.c.1,TIM
Tonga,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",99,,2021,%,9.c.1,TON
Turkmenistan,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",97.87,,2021,%,9.c.1,TKM
Tuvalu,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",50,,2021,%,9.c.1,TUV
Uzbekistan,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",99.4,,2021,%,9.c.1,UZB
Vanuatu,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",90,,2021,%,9.c.1,VAN
Viet Nam,"9.c.1 – Proportion of Population Covered by Mobile Network, 2G",99.8,,2021,%,9.c.1,VIE
Afghanistan,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",57,,2021,%,9.c.1,AFG
Armenia,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",100,,2021,%,9.c.1,ARM
Azerbaijan,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",99.5,,2021,%,9.c.1,AZE
Bangladesh,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",98.2,,2021,%,9.c.1,BAN
Bhutan,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",95,,2021,%,9.c.1,BHU
Brunei Darussalam,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",96,,2021,%,9.c.1,BRU
Cambodia,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",95.7,,2021,%,9.c.1,CAM
"China, People's Republic of","9.c.1 – Proportion of Population Covered by Mobile Network, 3G",99.9,,2021,%,9.c.1,PRC
Cook Islands,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",55,,2021,%,9.c.1,COO
Fiji,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",96,,2021,%,9.c.1,FIJ
Georgia,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",99.98,,2021,%,9.c.1,GEO
"Hong Kong, China","9.c.1 – Proportion of Population Covered by Mobile Network, 3G",99,,2021,%,9.c.1,HKG
India,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",98.82,,2021,%,9.c.1,IND
Indonesia,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",93.88,,2021,%,9.c.1,INO
Kazakhstan,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",96,,2021,%,9.c.1,KAZ
Kiribati,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",75,,2021,%,9.c.1,KIR
"Korea, Republic of","9.c.1 – Proportion of Population Covered by Mobile Network, 3G",99.9,,2021,%,9.c.1,KOR
Kyrgyz Republic,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",91,,2021,%,9.c.1,KGZ
Lao People's Democratic Republic,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",85,,2021,%,9.c.1,LAO
Malaysia,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",95.4,,2021,%,9.c.1,MAL
Maldives,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",100,,2021,%,9.c.1,MLD
Marshall Islands,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",,,,%,9.c.1,RMI
"Micronesia, Federated States of","9.c.1 – Proportion of Population Covered by Mobile Network, 3G",15,,2020,%,9.c.1,FSM
Mongolia,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",100,,2021,%,9.c.1,MON
Myanmar,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",94.31,,2021,%,9.c.1,MYA
Nauru,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",98,,2021,%,9.c.1,NAU
Nepal,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",54.1,,2021,%,9.c.1,NEP
Niue,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",0,,2015,%,9.c.1,NIU
Pakistan,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",78.1,,2021,%,9.c.1,PAK
Palau,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",88,,2021,%,9.c.1,PLW
Papua New Guinea,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",64.35,,2021,%,9.c.1,PNG
Philippines,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",96,,2021,%,9.c.1,PHI
Samoa,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",91,,2021,%,9.c.1,SAM
Singapore,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",100,,2021,%,9.c.1,SIN
Solomon Islands,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",45,,2021,%,9.c.1,SOL
Sri Lanka,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",96,,2021,%,9.c.1,SRI
"Taipei,China","9.c.1 – Proportion of Population Covered by Mobile Network, 3G",,,,%,9.c.1,TAP
Tajikistan,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",90,,2021,%,9.c.1,TAJ
Thailand,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",98.8,,2021,%,9.c.1,THA
Timor-Leste,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",96.5,,2021,%,9.c.1,TIM
Tonga,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",99,,2021,%,9.c.1,TON
Turkmenistan,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",75.8,,2021,%,9.c.1,TKM
Tuvalu,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",48,,2021,%,9.c.1,TUV
Uzbekistan,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",95,,2021,%,9.c.1,UZB
Vanuatu,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",70,,2021,%,9.c.1,VAN
Viet Nam,"9.c.1 – Proportion of Population Covered by Mobile Network, 3G",99.8,,2021,%,9.c.1,VIE
Afghanistan,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",26,,2021,%,9.c.1,AFG
Armenia,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",100,,2021,%,9.c.1,ARM
Azerbaijan,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",94,,2021,%,9.c.1,AZE
Bangladesh,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",98.2,,2021,%,9.c.1,BAN
Bhutan,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",80,,2021,%,9.c.1,BHU
Brunei Darussalam,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",95.25,,2021,%,9.c.1,BRU
Cambodia,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",95.7,,2021,%,9.c.1,CAM
"China, People's Republic of","9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",99.9,,2021,%,9.c.1,PRC
Cook Islands,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",55,,2021,%,9.c.1,COO
Fiji,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",80,,2020,%,9.c.1,FIJ
Georgia,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",99.72,,2021,%,9.c.1,GEO
"Hong Kong, China","9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",99,,2021,%,9.c.1,HKG
India,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",98.67,,2021,%,9.c.1,IND
Indonesia,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",96.19,,2021,%,9.c.1,INO
Kazakhstan,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",83.5,,2021,%,9.c.1,KAZ
Kiribati,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",54,,2021,%,9.c.1,KIR
"Korea, Republic of","9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",99.9,,2021,%,9.c.1,KOR
Kyrgyz Republic,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",85,,2021,%,9.c.1,KGZ
Lao People's Democratic Republic,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",52,,2021,%,9.c.1,LAO
Malaysia,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",95.4,,2021,%,9.c.1,MAL
Maldives,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",100,,2021,%,9.c.1,MLD
Marshall Islands,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",65,,2015,%,9.c.1,RMI
"Micronesia, Federated States of","9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",0,,2017,%,9.c.1,FSM
Mongolia,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",99,,2021,%,9.c.1,MON
Myanmar,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",94.31,,2021,%,9.c.1,MYA
Nauru,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",30,,2021,%,9.c.1,NAU
Nepal,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",45,,2021,%,9.c.1,NEP
Niue,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",100,,2020,%,9.c.1,NIU
Pakistan,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",75.4,,2021,%,9.c.1,PAK
Palau,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",,,,%,9.c.1,PLW
Papua New Guinea,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",50,,2021,%,9.c.1,PNG
Philippines,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",80,,2020,%,9.c.1,PHI
Samoa,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",49,,2021,%,9.c.1,SAM
Singapore,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",100,,2021,%,9.c.1,SIN
Solomon Islands,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",25,,2021,%,9.c.1,SOL
Sri Lanka,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",96,,2021,%,9.c.1,SRI
"Taipei,China","9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",,,,%,9.c.1,TAP
Tajikistan,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",80,,2021,%,9.c.1,TAJ
Thailand,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",98.1,,2021,%,9.c.1,THA
Timor-Leste,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",45,,2021,%,9.c.1,TIM
Tonga,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",96,,2021,%,9.c.1,TON
Turkmenistan,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",67,,2021,%,9.c.1,TKM
Tuvalu,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",0,,2021,%,9.c.1,TUV
Uzbekistan,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",75,,2021,%,9.c.1,UZB
Vanuatu,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",70,,2021,%,9.c.1,VAN
Viet Nam,"9.c.1 – Proportion of Population Covered by Mobile Network, LTE/WiMAX",99.7,,2021,%,9.c.1,VIE
Afghanistan,Age Dependency Ratio,84.599,,2021,% of working-age population,,AFG
Armenia,Age Dependency Ratio,49.629,,2021,% of working-age population,,ARM
Azerbaijan,Age Dependency Ratio,44.179,,2021,% of working-age population,,AZE
Bangladesh,Age Dependency Ratio,47.667,,2021,% of working-age population,,BAN
Bhutan,Age Dependency Ratio,40.724,,2021,% of working-age population,,BHU
Brunei Darussalam,Age Dependency Ratio,39.193,,2021,% of working-age population,,BRU
Cambodia,Age Dependency Ratio,53.448,,2021,% of working-age population,,CAM
"China, People's Republic of",Age Dependency Ratio,44.546,,2021,% of working-age population,,PRC
Cook Islands,Age Dependency Ratio,53.771,,2021,% of working-age population,,COO
Fiji,Age Dependency Ratio,52.978,,2021,% of working-age population,,FIJ
Georgia,Age Dependency Ratio,55.403,,2021,% of working-age population,,GEO
"Hong Kong, China",Age Dependency Ratio,46.578,,2021,% of working-age population,,HKG
India,Age Dependency Ratio,48.126,,2021,% of working-age population,,IND
Indonesia,Age Dependency Ratio,47.615,,2021,% of working-age population,,INO
Kazakhstan,Age Dependency Ratio,59.955,,2021,% of working-age population,,KAZ
Kiribati,Age Dependency Ratio,66.428,,2021,% of working-age population,,KIR
"Korea, Republic of",Age Dependency Ratio,39.945,,2021,% of working-age population,,KOR
Kyrgyz Republic,Age Dependency Ratio,63.532,,2021,% of working-age population,,KGZ
Lao People's Democratic Republic,Age Dependency Ratio,54.736,,2021,% of working-age population,,LAO
Malaysia,Age Dependency Ratio,43.291,,2021,% of working-age population,,MAL
Maldives,Age Dependency Ratio,35.615,,2021,% of working-age population,,MLD
Marshall Islands,Age Dependency Ratio,59.868,,2021,% of working-age population,,RMI
"Micronesia, Federated States of",Age Dependency Ratio,57.676,,2021,% of working-age population,,FSM
Mongolia,Age Dependency Ratio,58.353,,2021,% of working-age population,,MON
Myanmar,Age Dependency Ratio,46.007,,2021,% of working-age population,,MYA
Nauru,Age Dependency Ratio,69.855,,2021,% of working-age population,,NAU
Nepal,Age Dependency Ratio,54.896,,2021,% of working-age population,,NEP
Niue,Age Dependency Ratio,70.361,,2021,% of working-age population,,NIU
Pakistan,Age Dependency Ratio,69.957,,2021,% of working-age population,,PAK
Palau,Age Dependency Ratio,43.841,,2021,% of working-age population,,PLW
Papua New Guinea,Age Dependency Ratio,60.48,,2021,% of working-age population,,PNG
Philippines,Age Dependency Ratio,56.16,,2021,% of working-age population,,PHI
Samoa,Age Dependency Ratio,74.913,,2021,% of working-age population,,SAM
Singapore,Age Dependency Ratio,35.353,,2021,% of working-age population,,SIN
Solomon Islands,Age Dependency Ratio,74.809,,2021,% of working-age population,,SOL
Sri Lanka,Age Dependency Ratio,52.372,,2021,% of working-age population,,SRI
"Taipei,China",Age Dependency Ratio,40.152,,2021,% of working-age population,,TAP
Tajikistan,Age Dependency Ratio,65.936,,2021,% of working-age population,,TAJ
Thailand,Age Dependency Ratio,43.497,,2021,% of working-age population,,THA
Timor-Leste,Age Dependency Ratio,68.292,,2021,% of working-age population,,TIM
Tonga,Age Dependency Ratio,68.981,,2021,% of working-age population,,TON
Turkmenistan,Age Dependency Ratio,56.57,,2021,% of working-age population,,TKM
Tuvalu,Age Dependency Ratio,60.912,,2021,% of working-age population,,TUV
Uzbekistan,Age Dependency Ratio,53.971,,2021,% of working-age population,,UZB
Vanuatu,Age Dependency Ratio,76.488,,2021,% of working-age population,,VAN
Viet Nam,Age Dependency Ratio,45.557,,2021,% of working-age population,,VIE
Afghanistan,Annual GDP Growth Rate,-20.7,,2021,%,,AFG
Armenia,Annual GDP Growth Rate,12.64449866,,2022,%,,ARM
Azerbaijan,Annual GDP Growth Rate,4.6,,2022,%,,AZE
Bangladesh,Annual GDP Growth Rate,7.099828776,,2022,%,,BAN
Bhutan,Annual GDP Growth Rate,4.7,,2022,%,,BHU
Brunei Darussalam,Annual GDP Growth Rate,-0.5,,2022,%,,BRU
Cambodia,Annual GDP Growth Rate,5.233702989,,2022,%,,CAM
"China, People's Republic of",Annual GDP Growth Rate,3,,2022,%,,PRC
Cook Islands,Annual GDP Growth Rate,10.5,,2022,%,,COO
Fiji,Annual GDP Growth Rate,15.94843289,,2022,%,,FIJ
Georgia,Annual GDP Growth Rate,10.23017595,,2022,%,,GEO
"Hong Kong, China",Annual GDP Growth Rate,-3.507041151,,2022,%,,HKG
India,Annual GDP Growth Rate,6.8,,2022,%,,IND
Indonesia,Annual GDP Growth Rate,5.308595005,,2022,%,,INO
Kazakhstan,Annual GDP Growth Rate,3.2,,2022,%,,KAZ
Kiribati,Annual GDP Growth Rate,1.8,,2022,%,,KIR
"Korea, Republic of",Annual GDP Growth Rate,2.6,,2022,%,,KOR
Kyrgyz Republic,Annual GDP Growth Rate,7.022208826,,2022,%,,KGZ
Lao People's Democratic Republic,Annual GDP Growth Rate,2.5,,2022,%,,LAO
Malaysia,Annual GDP Growth Rate,8.694360434,,2022,%,,MAL
Maldives,Annual GDP Growth Rate,12.29948646,,2022,%,,MLD
Marshall Islands,Annual GDP Growth Rate,-0.9,,2022,%,,RMI
"Micronesia, Federated States of",Annual GDP Growth Rate,1.958716657,,2022,%,,FSM
Mongolia,Annual GDP Growth Rate,4.8,,2022,%,,MON
Myanmar,Annual GDP Growth Rate,2,,2022,%,,MYA
Nauru,Annual GDP Growth Rate,1.188819451,,2022,%,,NAU
Nepal,Annual GDP Growth Rate,5.837515534,,2022,%,,NEP
Niue,Annual GDP Growth Rate,4.913777392,,2019,%,,NIU
Pakistan,Annual GDP Growth Rate,5.967427458,,2022,%,,PAK
Palau,Annual GDP Growth Rate,-1,,2022,%,,PLW
Papua New Guinea,Annual GDP Growth Rate,3.175470812,,2022,%,,PNG
Philippines,Annual GDP Growth Rate,7.59923525,,2022,%,,PHI
Samoa,Annual GDP Growth Rate,-6.022010613,,2022,%,,SAM
Singapore,Annual GDP Growth Rate,3.646972071,,2022,%,,SIN
Solomon Islands,Annual GDP Growth Rate,-4.177428991,,2022,%,,SOL
Sri Lanka,Annual GDP Growth Rate,-7.82397916,,2022,%,,SRI
"Taipei,China",Annual GDP Growth Rate,2.45235893,,2022,%,,TAP
Tajikistan,Annual GDP Growth Rate,8,,2022,%,,TAJ
Thailand,Annual GDP Growth Rate,2.594733433,,2022,%,,THA
Timor-Leste,Annual GDP Growth Rate,3.219628116,,2022,%,,TIM
Tonga,Annual GDP Growth Rate,-2.232266526,,2022,%,,TON
Turkmenistan,Annual GDP Growth Rate,6.2,,2022,%,,TKM
Tuvalu,Annual GDP Growth Rate,1.5,,2022,%,,TUV
Uzbekistan,Annual GDP Growth Rate,5.7,,2022,%,,UZB
Vanuatu,Annual GDP Growth Rate,1.960184733,,2022,%,,VAN
Viet Nam,Annual GDP Growth Rate,8.017906258,,2022,%,,VIE
Afghanistan,Current Account Balance,11.157,,2020,% of GDP,,AFG
Armenia,Current Account Balance,-2.040408042,,2022,% of GDP,,ARM
Azerbaijan,Current Account Balance,22.49779191,,2022,% of GDP,,AZE
Bangladesh,Current Account Balance,-4.062604017,,2022,% of GDP,,BAN
Bhutan,Current Account Balance,-34.3,,2022,% of GDP,,BHU
Brunei Darussalam,Current Account Balance,9,,2022,% of GDP,,BRU
Cambodia,Current Account Balance,-25.31436453,,2022,% of GDP,,CAM
"China, People's Republic of",Current Account Balance,2.320350598,,2022,% of GDP,,PRC
Cook Islands,Current Account Balance,-7,,2022,% of GDP,,COO
Fiji,Current Account Balance,-12.4883745,,2022,% of GDP,,FIJ
Georgia,Current Account Balance,-3.2,,2022,% of GDP,,GEO
"Hong Kong, China",Current Account Balance,10.65213475,,2022,% of GDP,,HKG
India,Current Account Balance,-2.892282881,,2022,% of GDP,,IND
Indonesia,Current Account Balance,1.001912033,,2022,% of GDP,,INO
Kazakhstan,Current Account Balance,2.83809946,,2022,% of GDP,,KAZ
Kiribati,Current Account Balance,38.07934551,,2022,% of GDP,,KIR
"Korea, Republic of",Current Account Balance,1.791986898,,2022,% of GDP,,KOR
Kyrgyz Republic,Current Account Balance,-8.652780218,,2021,% of GDP,,KGZ
Lao People's Democratic Republic,Current Account Balance,-4.7,,2022,% of GDP,,LAO
Malaysia,Current Account Balance,2.63981824,,2022,% of GDP,,MAL
Maldives,Current Account Balance,-17.99903684,,2022,% of GDP,,MLD
Marshall Islands,Current Account Balance,25.10559275,,2021,% of GDP,,RMI
"Micronesia, Federated States of",Current Account Balance,-13.87181817,,2022,% of GDP,,FSM
Mongolia,Current Account Balance,-15.8,,2022,% of GDP,,MON
Myanmar,Current Account Balance,-1.8,,2022,% of GDP,,MYA
Nauru,Current Account Balance,-2.486486486,,2022,% of GDP,,NAU
Nepal,Current Account Balance,-12.8,,2022,% of GDP,,NEP
Niue,Current Account Balance,15.73183455,,2018,% of GDP,,NIU
Pakistan,Current Account Balance,-4.613472558,,2022,% of GDP,,PAK
Palau,Current Account Balance,-67.85536388,,2022,% of GDP,,PLW
Papua New Guinea,Current Account Balance,23.6950971,,2022,% of GDP,,PNG
Philippines,Current Account Balance,-4.411022266,,2022,% of GDP,,PHI
Samoa,Current Account Balance,-13.6,,2022,% of GDP,,SAM
Singapore,Current Account Balance,19.33195741,,2022,% of GDP,,SIN
Solomon Islands,Current Account Balance,-12.39070719,,2022,% of GDP,,SOL
Sri Lanka,Current Account Balance,-2.164226691,,2022,% of GDP,,SRI
"Taipei,China",Current Account Balance,13.3496138,,2022,% of GDP,,TAP
Tajikistan,Current Account Balance,3.3,,2022,% of GDP,,TAJ
Thailand,Current Account Balance,-3.420360489,,2022,% of GDP,,THA
Timor-Leste,Current Account Balance,-21.92041733,,2022,% of GDP,,TIM
Tonga,Current Account Balance,-5.745259241,,2022,% of GDP,,TON
Turkmenistan,Current Account Balance,6,,2022,% of GDP,,TKM
Tuvalu,Current Account Balance,-4.058900605,,2022,% of GDP,,TUV
Uzbekistan,Current Account Balance,-0.6,,2022,% of GDP,,UZB
Vanuatu,Current Account Balance,-4.980887485,,2022,% of GDP,,VAN
Viet Nam,Current Account Balance,-0.262721642,,2022,% of GDP,,VIE
Afghanistan,"Government Finance, Expenditure",27.9,,2020,% of GDP,,AFG
Armenia,"Government Finance, Expenditure",26.39342144,,2022,% of GDP,,ARM
Azerbaijan,"Government Finance, Expenditure",23.91788429,,2022,% of GDP,,AZE
Bangladesh,"Government Finance, Expenditure",13.12724645,,2022,% of GDP,,BAN
Bhutan,"Government Finance, Expenditure",39.3396943,,2022,% of GDP,,BHU
Brunei Darussalam,"Government Finance, Expenditure",32.99013061,,2022,% of GDP,,BRU
Cambodia,"Government Finance, Expenditure",20.53594437,,2022,% of GDP,,CAM
"China, People's Republic of","Government Finance, Expenditure",21.53424637,,2022,% of GDP,,PRC
Cook Islands,"Government Finance, Expenditure",47.9,,2022,% of GDP,,COO
Fiji,"Government Finance, Expenditure",34.06979413,,2022,% of GDP,,FIJ
Georgia,"Government Finance, Expenditure",29.36922106,,2022,% of GDP,,GEO
"Hong Kong, China","Government Finance, Expenditure",28.63804112,,2022,% of GDP,,HKG
India,"Government Finance, Expenditure",15.29536321,,2022,% of GDP,,IND
Indonesia,"Government Finance, Expenditure",14.82355579,,2022,% of GDP,,INO
Kazakhstan,"Government Finance, Expenditure",22.08093695,,2022,% of GDP,,KAZ
Kiribati,"Government Finance, Expenditure",170.1036651,,2022,% of GDP,,KIR
"Korea, Republic of","Government Finance, Expenditure",29.93393676,,2022,% of GDP,,KOR
Kyrgyz Republic,"Government Finance, Expenditure",33.82814029,,2022,% of GDP,,KGZ
Lao People's Democratic Republic,"Government Finance, Expenditure",14.7159456,,2022,% of GDP,,LAO
Malaysia,"Government Finance, Expenditure",17.00204935,,2022,% of GDP,,MAL
Maldives,"Government Finance, Expenditure",41.99046738,,2022,% of GDP,,MLD
